Date,Price,Security
4/2/2020 16:00,"49,45",AMD
5/2/2020 16:00,"49,84",AMD
6/2/2020 16:00,"49,32",AMD
7/2/2020 16:00,"49,73",AMD
10/2/2020 16:00,"52,26",AMD
11/2/2020 16:00,"53,8",AMD
12/2/2020 16:00,"53,89",AMD
13/02/2020 16:00:00,"54,53",AMD
14/02/2020 16:00:00,"55,31",AMD
18/02/2020 16:00:00,"56,89",AMD
19/02/2020 16:00:00,"58,9",AMD
20/02/2020 16:00:00,"57,27",AMD
21/02/2020 16:00:00,"53,28",AMD
24/02/2020 16:00:00,"49,12",AMD
25/02/2020 16:00:00,"47,57",AMD
26/02/2020 16:00:00,"47,49",AMD
27/02/2020 16:00:00,"44,01",AMD
28/02/2020 16:00:00,"45,48",AMD
2/3/2020 16:00,"47,46",AMD
3/3/2020 16:00,"46,75",AMD
4/3/2020 16:00,"50,11",AMD
5/3/2020 16:00,"48,11",AMD
6/3/2020 16:00,"48,59",AMD
9/3/2020 16:00,"43,27",AMD
10/3/2020 16:00,"45,38",AMD
11/3/2020 16:00,"45,7",AMD
12/3/2020 16:00,"39,01",AMD
13/03/2020 16:00:00,"43,9",AMD
16/03/2020 16:00:00,"38,71",AMD
17/03/2020 16:00:00,"41,88",AMD
18/03/2020 16:00:00,"39,12",AMD
19/03/2020 16:00:00,"39,82",AMD
20/03/2020 16:00:00,"39,61",AMD
23/03/2020 16:00:00,"41,64",AMD
24/03/2020 16:00:00,"46,22",AMD
25/03/2020 16:00:00,"44,63",AMD
26/03/2020 16:00:00,"47,5",AMD
27/03/2020 16:00:00,"46,58",AMD
30/03/2020 16:00:00,"47,86",AMD
31/03/2020 16:00:00,"45,48",AMD
1/4/2020 16:00,"43,66",AMD
2/4/2020 16:00,"44,49",AMD
3/4/2020 16:00,"42,59",AMD
6/4/2020 16:00,"47,52",AMD
7/4/2020 16:00,"47,56",AMD
8/4/2020 16:00,"48,79",AMD
9/4/2020 16:00,"48,38",AMD
13/04/2020 16:00:00,"50,94",AMD
14/04/2020 16:00:00,"54,93",AMD
15/04/2020 16:00:00,"54,99",AMD
16/04/2020 16:00:00,"56,95",AMD
17/04/2020 16:00:00,"56,6",AMD
20/04/2020 16:00:00,"56,97",AMD
21/04/2020 16:00:00,"52,92",AMD
22/04/2020 16:00:00,"55,92",AMD
23/04/2020 16:00:00,"55,9",AMD
24/04/2020 16:00:00,"56,18",AMD
27/04/2020 16:00:00,"56,49",AMD
28/04/2020 16:00:00,"55,51",AMD
29/04/2020 16:00:00,"53,66",AMD
30/04/2020 16:00:00,"52,39",AMD
1/5/2020 16:00,"49,88",AMD
4/5/2020 16:00,"52,56",AMD
5/5/2020 16:00,"52,19",AMD
6/5/2020 16:00,"52,16",AMD
7/5/2020 16:00,"51,95",AMD
8/5/2020 16:00,"53,19",AMD
11/5/2020 16:00,"55,74",AMD
12/5/2020 16:00,"53,76",AMD
13/05/2020 16:00:00,"52,18",AMD
14/05/2020 16:00:00,"54,51",AMD
15/05/2020 16:00:00,"54,2",AMD
18/05/2020 16:00:00,"54,59",AMD
19/05/2020 16:00:00,"55,47",AMD
20/05/2020 16:00:00,"56,39",AMD
21/05/2020 16:00:00,"54,65",AMD
22/05/2020 16:00:00,"55,17",AMD
26/05/2020 16:00:00,"53,19",AMD
27/05/2020 16:00:00,"52,74",AMD
28/05/2020 16:00:00,"51,74",AMD
29/05/2020 16:00:00,"53,8",AMD
1/6/2020 16:00,"53,63",AMD
2/6/2020 16:00,"53,54",AMD
3/6/2020 16:00,"52,73",AMD
4/6/2020 16:00,"52,63",AMD
5/6/2020 16:00,"53,1",AMD
8/6/2020 16:00,"52,97",AMD
9/6/2020 16:00,"56,39",AMD
10/6/2020 16:00,"57,44",AMD
11/6/2020 16:00,"52,83",AMD
12/6/2020 16:00,"53,5",AMD
15/06/2020 16:00:00,"54,68",AMD
16/06/2020 16:00:00,"54,46",AMD
17/06/2020 16:00:00,"54,55",AMD
18/06/2020 16:00:00,"54,04",AMD
19/06/2020 16:00:00,"54,23",AMD
22/06/2020 16:00:00,"54,76",AMD
23/06/2020 16:00:00,"53,99",AMD
24/06/2020 16:00:00,"52,39",AMD
25/06/2020 16:00:00,"51,93",AMD
26/06/2020 16:00:00,"50,1",AMD
29/06/2020 16:00:00,"50,28",AMD
30/06/2020 16:00:00,"52,61",AMD
1/7/2020 16:00,"52,58",AMD
2/7/2020 16:00,"52,34",AMD
6/7/2020 16:00,"53,4",AMD
7/7/2020 16:00,"52,93",AMD
8/7/2020 16:00,"53,43",AMD
9/7/2020 16:00,"57,26",AMD
10/7/2020 16:00,"55,88",AMD
13/07/2020 16:00:00,"53,59",AMD
14/07/2020 16:00:00,"54,72",AMD
15/07/2020 16:00:00,"55,34",AMD
16/07/2020 16:00:00,"54,92",AMD
17/07/2020 16:00:00,"55,04",AMD
20/07/2020 16:00:00,"57,46",AMD
21/07/2020 16:00:00,57,AMD
22/07/2020 16:00:00,"61,79",AMD
23/07/2020 16:00:00,"59,57",AMD
24/07/2020 16:00:00,"69,4",AMD
27/07/2020 16:00:00,"68,97",AMD
28/07/2020 16:00:00,"67,61",AMD
29/07/2020 16:00:00,"76,09",AMD
30/07/2020 16:00:00,"78,2",AMD
31/07/2020 16:00:00,"77,43",AMD
3/8/2020 16:00,"77,67",AMD
4/8/2020 16:00,"85,04",AMD
5/8/2020 16:00,"85,31",AMD
6/8/2020 16:00,"86,71",AMD
7/8/2020 16:00,"84,85",AMD
10/8/2020 16:00,"82,24",AMD
11/8/2020 16:00,"76,88",AMD
12/8/2020 16:00,"82,61",AMD
13/08/2020 16:00:00,"81,84",AMD
14/08/2020 16:00:00,"81,3",AMD
17/08/2020 16:00:00,"82,42",AMD
18/08/2020 16:00:00,"81,66",AMD
19/08/2020 16:00:00,"81,09",AMD
20/08/2020 16:00:00,"82,77",AMD
21/08/2020 16:00:00,"83,81",AMD
24/08/2020 16:00:00,"83,08",AMD
25/08/2020 16:00:00,"86,35",AMD
26/08/2020 16:00:00,"86,02",AMD
27/08/2020 16:00:00,"83,8",AMD
28/08/2020 16:00:00,"85,55",AMD
31/08/2020 16:00:00,"90,82",AMD
1/9/2020 16:00,"92,18",AMD
2/9/2020 16:00,"90,22",AMD
3/9/2020 16:00,"82,54",AMD
4/9/2020 16:00,"82,01",AMD
8/9/2020 16:00,"78,69",AMD
9/9/2020 16:00,"81,91",AMD
10/9/2020 16:00,"78,98",AMD
11/9/2020 16:00,"76,34",AMD
14/09/2020 16:00:00,"77,9",AMD
15/09/2020 16:00:00,"78,93",AMD
16/09/2020 16:00:00,"76,66",AMD
17/09/2020 16:00:00,"76,55",AMD
18/09/2020 16:00:00,"74,93",AMD
21/09/2020 16:00:00,"77,94",AMD
22/09/2020 16:00:00,"77,7",AMD
23/09/2020 16:00:00,"74,73",AMD
24/09/2020 16:00:00,"75,82",AMD
25/09/2020 16:00:00,"78,06",AMD
28/09/2020 16:00:00,"79,48",AMD
29/09/2020 16:00:00,"81,77",AMD
30/09/2020 16:00:00,"81,99",AMD
1/10/2020 16:00,"84,86",AMD
2/10/2020 16:00,"81,8",AMD
5/10/2020 16:00,"86,15",AMD
6/10/2020 16:00,"84,48",AMD
7/10/2020 16:00,"86,69",AMD
8/10/2020 16:00,"86,51",AMD
9/10/2020 16:00,"83,1",AMD
12/10/2020 16:00,"84,29",AMD
13/10/2020 16:00:00,"85,28",AMD
14/10/2020 16:00:00,"84,21",AMD
15/10/2020 16:00:00,"83,13",AMD
16/10/2020 16:00:00,"83,17",AMD
19/10/2020 16:00:00,82,AMD
20/10/2020 16:00:00,"81,56",AMD
21/10/2020 16:00:00,"79,2",AMD
22/10/2020 16:00:00,"79,42",AMD
23/10/2020 16:00:00,"81,96",AMD
26/10/2020 16:00:00,"82,23",AMD
27/10/2020 16:00:00,"78,88",AMD
28/10/2020 16:00:00,"76,4",AMD
29/10/2020 16:00:00,"78,02",AMD
30/10/2020 16:00:00,"75,29",AMD
