id	Edad	Sexo	CarnetConducir	AreaTrabajo	FluidezVerbalEspanol	FluidezVerbalIngles	TR_ovejas	TR_semaforo	Videojuegos	FrecuenciaAlcohol	UnidadesAlcohol	NotaEsperada	Nota_PAU	a	b	c	d	e	f	g	h	i	j	k	l	TR_ovejas_agrupado
22	18	1	2	3	12	3	,7752	,2322	2	3	2	6,5	4,3	1	4	2	2	2	1	3	5	5	4	3	4	8
23	18	1	2	1	10	3	,2244	,2532	3	3	2	5	6,36	3	2	2	2	4	4	3	4	4	3	4	4	2
24	19	1	2	1	12	8	,7882	,2437	3	1	0	6	5,84	3	2	4	4	1	1	3	5	4	3	2	2	8
25	17	1	2	3	12	4	,2122	,1918	1	2	2	6	5,42	4	2	3	4	3	4	4	3	2	3	4	4	2
26	18	1	2	3	11	3	,2374	,2415	1	3	4	5	4	4	3	5	5	3	1	5	5	2	2	4	2	3
27	17	1	2	2	7	3	,8112	,2244	1	2	2	5	7,12	4	3	2	2	2	1	4	3	4	5	4	2	8
28	20	1	1	2	5	1	,2502	,2175	1	3	3	6	5,63	3	2	2	4	2	3	4	4	2	4	4	4	3
29	17	1	2	3	11	3	,2508	,2468	2	2	2	3	5,89	2	2	2	2	3	2	3	4	4	2	3	2	3
30	20	1	1	3	4	1	,238	,234	2	2	2	8	6,88	3	2	3	2	4	2	3	5	5	5	5	2	3
31	20	1	1	3	4	1	,238	,234	2	2	2	8	6,88	3	2	3	2	4	2	3	5	5	5	5	2	3
32	17	1	2	1	10	3	,2126	,1899	2	2	2	6	4,75	4	3	2	4	3	2	3	4	3	4	4	4	2
33	18	1	2	3	14	2	,3006	,2892	1	2	1	6	5,21	3	1	2	2	1	1	1	5	4	3	4	4	3
34	18	1	2	3	13	4	,2626	,2885	1	3	3	5	6,08	3	3	2	4	2	1	4	4	3	4	4	3	3
35	18	2	2	3	11	3	,7752	,6296	1	2	3	6	5,5	2	1	1	3	2	2	4	5	2	4	4	5	8
36	19	1	1	1	12	3	,8618	,2714	1	2	2	7,5	5,8	2	4	3	4	3	1	3	5	3	4	5	2	9
37	26	1	2	1	12	6	,2242	,2662	2	2	1	6	7,8	3	2	3	3	4	1	3	5	4	3	4	5	2
38	18	1	2	3	14	3	,8242	,307	1	2	1	8	7,15	2	2	1	1	2	1	4	5	5	4	4	4	8
39	18	1	2	1	9	4	,2628	,213	2	3	2	5	5,46	2	1	2	3	3	4	5	5	4	4	2	3	3
40	18	1	2	6	7	3	,2762	,224	1	3	2	7	5,7	2	2	3	3	2	2	3	4	4	2	2	4	3
41	18	1	2	1	10	2	,2004	,2045	1	3	2	6	5,87	2	3	2	3	2	2	4	4	4	4	3	4	2
42	18	1	1	4	8	1	,2882	,229	1	3	2	6	6,48	3	2	2	4	4	2	5	4	3	3	4	1	3
43	21	2	2	2	8	3	,2754	,2584	4	4	2	7	7,7	3	4	2	3	3	2	3	5	5	4	3	4	3
44	18	1	2	4	11	4	,2754	,2688	1	3	3	5,5	5,73	3	2	3	2	2	2	4	5	4	4	4	5	3
45	17	1	2	2	7	4	,2996	,2582	1	3	1	6,5	5,36	3	2	1	3	2	2	4	5	2	4	4	4	3
46	25	1	1	3	7	6	,2374	,2139	2	3	3	6,5	5,42	4	3	4	4	3	2	4	4	3	5	4	2	3
47	19	1	2	2	10	2	,2504	,25	2	3	3	6	5,83	4	2	2	3	3	5	3	4	5	4	4	1	3
48	18	1	2	2	10	3	,652	,124	1	3	3	6	5,81	3	2	2	4	2	3	3	4	2	4	4	5	7
49	18	1	1	1	12	8	,225	,234	1	2	2	8	5,8	2	2	4	1	4	2	5	5	5	3	4	1	2
50	18	1	2	3	18	8	,225	,2064	1	1	0	6	6,13	3	2	1	3	2	1	3	1	4	3	4	4	2
51	19	1	1	1	11	3	,2252	,1811	2	3	4	5	5,56	2	2	5	3	2	5	3	1	2	3	1	2	2
52	19	1	2	2	3	1	,262	,2778	1	2	1	6	6,99	3	2	1	2	4	3	5	5	4	4	4	4	3
53	17	1	2	3	8	3	,3008	,2504	1	2	1	5	6,76	2	4	2	4	4	1	3	5	2	3	4	5	3
54	19	1	2	6	13	6	,2008	,1906	1	2	2	8	5,22	5	3	2	2	3	2	2	5	5	4	4	4	2
55	18	1	2	2	9	4	,2624	,3364	2	3	2	6	6,1	3	3	2	2	3	3	4	4	3	2	4	3	3
56	18	1	2	2	14	6	,3	,1972	1	2	2	6	6,88	3	2	2	2	4	4	5	5	2	3	4	4	3
57	18	1	2	1	9	3	,7878	,2136	1	3	2	6	5,89	3	3	2	2	3	2	2	4	4	3	4	2	8
58	18	1	2	4	12	1	,2002	,2595	1	2	2	6	6,3	1	3	3	3	1	1	3	5	5	4	4	4	2
59	19	2	1	3	11	6	,2014	,2062	3	2	2	6	5,8	2	3	1	4	4	4	5	4	4	4	2	4	2
60	18	1	2	1	10	2	,2618	,2502	2	2	1	5	6,21	3	4	2	2	1	1	3	5	4	3	3	4	3
61	21	2	1	2	10	3	,674	,154	2	3	4	7	5,5	2	3	1	5	2	1	3	5	5	3	3	5	7
62	32	1	1	3	8	3	1,3744	,2172	1	2	2	6	6,5	1	1	1	1	4	1	3	5	5	4	4	3	2
63	18	1	2	3	13	2	,2864	,247	1	2	2	7	4,06	2	3	2	3	2	2	4	5	5	4	4	1	3
64	20	2	2	2	10	9	,788	,237	1	2	1	6,5	5,95	4	2	1	2	2	1	1	4	4	4	3	2	8
65	23	2	1	2	6	4	,212	,231	1	2	2	8	5,44	1	3	3	2	4	1	3	5	5	5	3	5	2
66	20	1	1	1	10	3	,774	,2535	1	2	2	6	4,8	3	3	2	2	2	1	4	4	4	4	3	2	8
67	17	1	2	1	7	3	,3138	,2215	2	3	1	6	5,6	3	3	2	4	2	1	3	4	5	4	3	4	3
68	18	1	2	3	9	4	,738	,1874	1	3	4	5	5,65	2	3	2	1	3	3	2	4	2	4	3	3	8
69	19	1	2	3	9	2	,2748	,2626	1	3	2	5	5,85	3	4	2	2	4	3	4	4	4	4	3	4	3
70	17	1	2	4	14	8	,18	,22	2	2	2	6	7,2	3	4	3	3	3	1	2	5	4	3	4	4	2
71	21	1	1	2	6	4	,2477	,262	1	3	2	7	8,5	3	2	2	4	2	1	2	4	4	3	5	4	3
72	19	1	1	2	12	8	,2258	,2732	2	4	2	6	5,8	3	1	4	2	4	1	2	5	4	3	4	5	2
73	20	1	2	3	12	4	,2388	,2429	1	3	3	5	5,22	4	3	3	2	3	2	3	5	4	4	3	3	3
74	17	1	2	3	10	3	,2876	,2748	1	2	1	5	7,07	2	3	2	1	2	2	2	4	4	4	3	3	3
75	18	2	2	3	9	7	,2372	,2468	2	3	2	6,5	4,9	2	3	1	4	2	2	4	5	4	4	5	4	3
76	17	1	2	3	18	6	,2126	,2718	3	2	2	6	6,22	2	2	3	3	4	3	3	4	4	4	3	4	2
77	21	1	2	3	8	3	,263	,296	2	2	1	6	7,8	4	2	3	2	4	2	3	4	4	4	4	4	3
78	18	1	2	3	14	8	,237	,2748	2	3	4	6	5	3	2	2	2	3	2	3	5	3	4	3	4	3
79	18	1	1	2	10	2	,2754	,2352	1	3	3	6	7,98	3	2	1	1	4	1	1	5	1	4	4	5	3
80	18	1	2	4	7	6	,2385	,3642	1	3	3	7	6,2	2	2	2	2	2	1	3	4	5	4	3	4	3
81	18	1	2	4	13	8	,274	,2815	2	3	2	6	5,9	2	3	2	2	3	4	4	4	4	4	4	3	3
82	20	1	2	3	15	3	,2876	,2694	1	2	2	7	5,3	2	5	1	3	4	2	2	5	5	4	4	3	3
83	24	1	1	1	14	4	,8252	,2322	3	2	3	7	5,4	4	2	1	3	2	2	4	5	5	4	4	4	8

