"","cust_id","age","gender","create_date","case_record_type","case_source","status","complaint_reason","pending_call","time_to_resolution_min","need_replace","ProdCSAT","ServCSAT"
"31","6783",39,"u",2020-02-29,"issue","inbound","closed","Unable to connect the App to the device","n",40,"FALSE",2,4
"32","4835",37,"u",2020-01-06,"issue","inbound","closed","Factory settings not working","n",109,"FALSE",2,5
"33","7108",36,"u",2020-04-17,"issue","inbound","closed","Motor noise from the system","n",79,"FALSE",4,3
"34","5654",43,"f",2020-03-25,"issue","inbound","closed","Remote Keys get stuck","n",59,"FALSE",NA,NA
"35","2955",28,"f",2020-03-22,"issue","inbound","closed","Unable to operate menu from remote","n",42,"FALSE",5,4
"36","5054",30,"f",2020-04-11,"issue","inbound","open","Motor noise from the system","y",59,"FALSE",3,4
"37","133",33,"m",2020-04-01,"issue","inbound","open","App takes a long time to initialize","y",80,"FALSE",4,4
"38","6770",37,"f",2020-04-19,"issue","inbound","open","Motor noise from the system","y",78,"FALSE",NA,NA
"39","1400",39,"f",2020-03-27,"issue","inbound","open","AC stops abruptly","y",69,"FALSE",3,4
"40","3519",25,"m",2020-02-08,"issue","inbound","closed","Motor noise from the system","n",71,"FALSE",NA,NA
"41","4188",45,"u",2020-03-04,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",62,"FALSE",2,4
"42","3075",34,"u",2020-03-24,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",79,"TRUE",3,4
"43","3983",42,"m",2020-03-30,"issue","inbound","closed","Battery backup does not get fully charged","n",87,"FALSE",3,4
"44","2976",31,"f",2020-03-02,"issue","inbound","closed","Freshner holder stuck","n",88,"FALSE",4,4
"45","1408",35,"m",2020-01-30,"issue","inbound","closed","Unable to connect the App to the device","n",69,"FALSE",NA,NA
"46","2142",35,"f",2020-03-19,"issue","inbound","closed","Remote Keys get stuck","n",39,"FALSE",NA,NA
"47","4900",33,"u",2020-01-08,"issue","inbound","open","Motor noise from the system","y",56,"FALSE",2,5
"48","3993",40,"u",2020-04-19,"issue","inbound","closed","Unable to connect the App to the device","n",87,"FALSE",4,4
"49","2211",36,"m",2020-03-12,"issue","inbound","closed","Unable to operate menu from remote","n",60,"FALSE",NA,NA
"50","1054",38,"u",2020-04-13,"issue","inbound","open","WIFI connectivity breaks","y",57,"FALSE",3,4
"51","1683",26,"u",2020-04-14,"issue","inbound","open","Cluttered with popup messages","y",55,"FALSE",4,4
"52","5716",39,"u",2020-02-15,"issue","inbound","closed","Temperature control not working","n",72,"FALSE",NA,NA
"53","2225",33,"m",2020-01-14,"issue","inbound","closed","Unable to connect the App to the device","n",64,"FALSE",NA,NA
"54","5770",32,"u",2020-01-15,"issue","inbound","closed","Cluttered with popup messages","n",68,"FALSE",3,3
"55","5105",29,"u",2020-04-03,"issue","inbound","closed","Remote Keys get stuck","n",79,"FALSE",4,3
"56","2157",40,"u",2020-02-04,"issue","inbound","closed","Motor noise from the system","n",49,"FALSE",5,3
"57","2728",30,"u",2020-01-16,"issue","inbound","closed incomplete","Temperature control not working","n",76,"FALSE",3,3
"58","6570",34,"m",2020-04-02,"issue","inbound","closed","Cluttered with popup messages","n",41,"FALSE",5,4
"59","2807",33,"u",2020-01-18,"issue","inbound","closed","Unable to connect the App to the device","n",58,"FALSE",3,4
"60","3085",34,"u",2020-04-20,"issue","inbound","closed","Unable to connect the App to the device","n",88,"FALSE",3,3
"61","2831",32,"u",2020-01-26,"issue","inbound","closed","App takes a long time to initialize","n",68,"FALSE",4,4
"62","418",35,"f",2020-01-31,"issue","inbound","closed","Cluttered with popup messages","n",67,"FALSE",NA,NA
"63","6236",34,"u",2020-03-25,"issue","inbound","closed","Cluttered with popup messages","n",52,"FALSE",3,5
"64","2173",37,"m",2020-03-27,"issue","inbound","closed","Unable to connect the App to the device","n",45,"FALSE",3,4
"65","6399",33,"m",2020-02-06,"issue","inbound","closed incomplete","AC controller sofware missing","n",84,"FALSE",NA,NA
"66","2723",42,"m",2020-03-24,"issue","inbound","closed","WIFI connectivity breaks","n",66,"FALSE",3,5
"67","5372",25,"u",2020-03-30,"issue","inbound","open","Temperature control not working","y",97,"FALSE",4,4
"68","3569",28,"m",2020-03-26,"issue","inbound","open","Unable to connect the App to the device","y",61,"FALSE",NA,NA
"69","1319",36,"m",2020-04-17,"issue","inbound","closed","Factory settings not working","n",81,"FALSE",3,4
"70","5372",25,"m",2020-01-02,"issue","inbound","open","Motor noise from the system","y",45,"FALSE",NA,NA
"71","3497",33,"m",2020-01-02,"issue","inbound","closed","Remote Keys get stuck","n",63,"FALSE",4,5
"72","4063",32,"f",2020-01-27,"issue","inbound","closed","Unable to operate menu from remote","n",54,"FALSE",2,3
"73","5713",41,"u",2020-03-28,"issue","inbound","closed incomplete","Freshner holder stuck","n",35,"FALSE",3,4
"74","5716",33,"f",2020-02-02,"issue","inbound","closed incomplete","Unable to connect the App to the device","n",67,"FALSE",4,4
"75","2933",34,"m",2020-03-26,"issue","inbound","closed incomplete","Unable to connect the App to the device","n",84,"FALSE",4,3
"76","7055",28,"m",2020-02-24,"issue","inbound","closed","App takes a long time to initialize","n",59,"FALSE",NA,NA
"77","5366",31,"m",2020-04-01,"issue","inbound","closed","Remote Keys get stuck","n",54,"FALSE",3,5
"78","4882",34,"f",2020-01-10,"issue","inbound","closed","Remote Keys get stuck","n",87,"FALSE",NA,NA
"79","2661",34,"f",2020-01-07,"issue","inbound","closed","App takes a long time to initialize","n",57,"FALSE",NA,NA
"80","4797",33,"u",2020-02-03,"issue","inbound","closed","Freshner holder stuck","n",90,"FALSE",NA,NA
"81","16",28,"u",2020-01-21,"issue","inbound","closed","WIFI connectivity breaks","n",95,"FALSE",NA,NA
"82","7226",37,"f",2020-03-22,"issue","inbound","open","WIFI connectivity breaks","y",72,"FALSE",3,5
"83","4556",43,"m",2020-01-07,"issue","inbound","closed","Unable to operate menu from remote","n",79,"FALSE",NA,NA
"84","6591",36,"u",2020-02-22,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",12,"FALSE",3,4
"85","3130",31,"u",2020-02-09,"issue","inbound","closed","Unable to operate menu from remote","n",71,"FALSE",3,5
"86","1483",33,"u",2020-04-08,"issue","inbound","open","WIFI connectivity breaks","y",43,"FALSE",3,5
"87","6176",30,"f",2020-01-26,"issue","inbound","open","Remote Keys get stuck","y",85,"FALSE",2,3
"88","1497",33,"u",2020-04-11,"issue","inbound","closed","Cluttered with popup messages","n",88,"FALSE",2,4
"89","710",35,"u",2020-02-13,"issue","inbound","closed","Unable to operate menu from remote","n",50,"FALSE",3,5
"90","5765",39,"f",2020-03-22,"issue","inbound","closed incomplete","Remote Keys get stuck","n",60,"FALSE",NA,NA
"91","3277",30,"u",2020-01-14,"issue","inbound","open","Freshner holder stuck","y",89,"FALSE",3,5
"92","1348",39,"m",2020-02-09,"issue","inbound","closed","WIFI connectivity breaks","n",87,"FALSE",NA,NA
"93","7356",32,"f",2020-02-14,"issue","inbound","open","Remote Keys get stuck","y",46,"FALSE",NA,NA
"94","677",38,"f",2020-03-29,"issue","inbound","closed","Remote Keys get stuck","n",65,"FALSE",3,3
"95","3475",36,"f",2020-04-17,"issue","inbound","closed","Cluttered with popup messages","n",54,"FALSE",NA,NA
"96","4714",40,"f",2020-03-21,"issue","inbound","closed","Motor noise from the system","n",50,"FALSE",4,4
"97","5807",41,"f",2020-03-30,"issue","inbound","closed","WIFI connectivity breaks","n",37,"FALSE",3,4
"98","2513",33,"u",2020-01-07,"issue","inbound","closed","Remote Keys get stuck","n",70,"FALSE",NA,NA
"99","3438",41,"u",2020-02-18,"issue","inbound","closed","AC remote does not  work","n",58,"FALSE",NA,NA
"100","1661",32,"m",2020-04-08,"issue","inbound","closed","Motor noise from the system","n",55,"FALSE",NA,NA
"101","432",40,"u",2020-02-20,"issue","inbound","closed","Temperature control not working","n",43,"FALSE",4,2
"102","3513",39,"m",2020-04-03,"issue","inbound","open","Unable to operate menu from remote","y",53,"FALSE",NA,NA
"103","99",22,"f",2020-01-15,"issue","inbound","closed","WIFI connectivity breaks","n",65,"FALSE",NA,NA
"104","4892",38,"m",2020-01-06,"issue","inbound","closed","Motor noise from the system","n",84,"FALSE",3,4
"105","2173",37,"u",2020-04-09,"issue","inbound","open","App takes a long time to initialize","y",37,"FALSE",3,3
"106","6490",36,"m",2020-03-30,"issue","inbound","closed","Unable to connect the App to the device","n",79,"FALSE",4,4
"107","1974",31,"f",2020-02-09,"issue","inbound","closed","Cluttered with popup messages","n",61,"FALSE",2,5
"108","4796",34,"m",2020-02-03,"issue","inbound","closed","Unable to connect the App to the device","n",50,"FALSE",NA,NA
"109","1033",36,"f",2020-03-08,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",67,"FALSE",NA,NA
"110","3332",36,"u",2020-01-01,"issue","inbound","closed","Unable to connect the App to the device","n",55,"FALSE",4,4
"111","6564",35,"m",2020-01-02,"issue","inbound","closed","AC stops abruptly","n",63,"FALSE",3,3
"112","378",33,"u",2020-01-03,"issue","inbound","closed incomplete","AC controller sofware missing","n",61,"FALSE",3,4
"113","7252",35,"m",2020-04-18,"issue","inbound","closed","Factory settings not working","n",72,"FALSE",3,3
"114","1261",36,"u",2020-01-06,"issue","inbound","closed","WIFI connectivity breaks","n",40,"FALSE",4,3
"115","3750",40,"f",2020-03-10,"issue","inbound","closed incomplete","Cluttered with popup messages","n",50,"FALSE",4,4
"116","1709",31,"m",2020-02-01,"issue","inbound","closed","Cluttered with popup messages","n",94,"FALSE",3,4
"117","4953",34,"m",2020-02-05,"issue","inbound","closed","WIFI connectivity breaks","n",70,"FALSE",NA,NA
"118","5514",34,"f",2020-01-15,"issue","inbound","open","Unable to operate menu from remote","y",39,"FALSE",3,4
"119","4843",43,"u",2020-02-07,"issue","inbound","closed","Unable to operate menu from remote","n",48,"FALSE",NA,NA
"120","6080",30,"u",2020-01-03,"issue","inbound","closed","Remote Keys get stuck","n",62,"FALSE",NA,NA
"121","4711",43,"u",2020-03-21,"issue","inbound","closed","Unable to operate menu from remote","n",72,"FALSE",4,3
"122","722",41,"u",2020-02-11,"issue","inbound","closed","Remote Keys get stuck","n",50,"FALSE",4,5
"123","3624",37,"u",2020-03-23,"issue","inbound","closed","Remote Keys get stuck","n",59,"FALSE",NA,NA
"124","675",40,"u",2020-03-23,"issue","inbound","closed","Fan speed varies at on its own","n",80,"FALSE",4,5
"125","6556",25,"m",2020-04-16,"issue","inbound","closed","AC controller sofware missing","n",73,"FALSE",4,5
"126","1346",34,"m",2020-03-25,"issue","inbound","closed incomplete","AC stops abruptly","n",91,"FALSE",2,4
"127","5264",34,"f",2020-01-02,"issue","inbound","closed","Unable to connect the App to the device","n",87,"FALSE",3,4
"128","6292",38,"f",2020-01-19,"issue","inbound","closed","Unable to operate menu from remote","n",57,"FALSE",3,4
"129","4536",37,"f",2020-01-07,"issue","inbound","closed","Factory settings not working","n",60,"FALSE",3,4
"130","3097",33,"u",2020-02-10,"issue","inbound","closed","Unable to connect the App to the device","n",41,"FALSE",3,4
"131","5548",38,"m",2020-04-13,"issue","inbound","open","Remote Keys get stuck","y",82,"TRUE",NA,NA
"132","6173",42,"f",2020-01-26,"issue","inbound","open","Freshner holder stuck","y",67,"FALSE",NA,NA
"133","7186",31,"f",2020-03-27,"issue","inbound","closed","Unable to connect the App to the device","n",79,"FALSE",2,4
"134","3170",37,"f",2020-02-05,"issue","inbound","closed","Unable to operate menu from remote","n",46,"FALSE",4,4
"135","7062",30,"m",2020-03-24,"issue","inbound","closed","Motor noise from the system","n",74,"FALSE",3,3
"136","390",45,"f",2020-01-07,"issue","inbound","open","Unable to operate menu from remote","y",41,"FALSE",3,5
"137","3695",33,"m",2020-01-22,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",63,"FALSE",NA,NA
"138","7510",32,"m",2020-02-18,"issue","inbound","open","Remote Keys get stuck","y",73,"FALSE",NA,NA
"139","4275",33,"u",2020-01-29,"issue","inbound","closed","Unable to operate menu from remote","n",87,"FALSE",3,4
"140","772",41,"f",2020-04-17,"issue","inbound","closed","Remote Keys get stuck","n",69,"FALSE",3,4
"141","1466",36,"u",2020-03-09,"issue","inbound","closed","Remote Keys get stuck","n",103,"FALSE",4,5
"142","833",38,"m",2020-04-13,"issue","inbound","closed","Remote Keys get stuck","n",63,"FALSE",3,5
"143","5214",40,"f",2020-01-23,"issue","inbound","open","Unable to operate menu from remote","y",60,"FALSE",NA,NA
"144","3505",34,"u",2020-04-09,"issue","inbound","closed","Forgot mobile app password","n",25,"FALSE",2,4
"145","3623",31,"u",2020-04-03,"issue","inbound","open","Mobile screen blanks on use of phone","y",86,"FALSE",3,5
"146","4588",32,"m",2020-03-12,"issue","inbound","open","AC controller sofware missing","y",60,"FALSE",2,4
"147","3808",44,"f",2020-02-23,"issue","inbound","closed","Motor noise from the system","n",63,"FALSE",5,5
"148","6193",31,"u",2020-03-22,"issue","inbound","closed","Unable to operate menu from remote","n",53,"FALSE",NA,NA
"149","682",31,"u",2020-03-22,"issue","inbound","closed","Unable to operate menu from remote","n",90,"FALSE",NA,NA
"150","5472",34,"f",2020-01-20,"issue","inbound","closed","Motor noise from the system","n",56,"FALSE",NA,NA
"151","7483",38,"u",2020-01-24,"issue","inbound","closed","Unable to operate menu from remote","n",59,"FALSE",2,4
"152","2784",37,"u",2020-02-12,"issue","inbound","closed","Fan speed varies at on its own","n",53,"FALSE",3,4
"153","452",41,"u",2020-04-13,"issue","inbound","closed","Remote Keys get stuck","n",116,"FALSE",4,3
"154","3036",33,"f",2020-03-19,"issue","inbound","open","WIFI connectivity breaks","y",69,"FALSE",NA,NA
"155","2072",35,"m",2020-03-07,"issue","inbound","closed","WIFI connectivity breaks","n",50,"FALSE",NA,NA
"156","6428",25,"u",2020-01-17,"issue","inbound","closed","Unable to operate menu from remote","n",92,"FALSE",NA,NA
"157","143",30,"m",2020-03-24,"issue","inbound","closed","WIFI connectivity breaks","n",63,"FALSE",NA,NA
"158","58",29,"m",2020-01-30,"issue","inbound","closed incomplete","Reinstalling the app hangs the phone","n",78,"FALSE",NA,NA
"159","1774",37,"u",2020-02-17,"issue","inbound","closed","Freshner holder stuck","n",35,"FALSE",3,3
"160","3186",33,"u",2020-01-23,"issue","inbound","closed","Remote Keys get stuck","n",102,"FALSE",3,4
"161","4278",44,"u",2020-03-30,"issue","inbound","closed","AC remote does not  work","n",68,"FALSE",NA,NA
"162","1064",36,"f",2020-01-04,"issue","inbound","closed","Motor noise from the system","n",69,"FALSE",3,4
"163","2578",24,"u",2020-03-28,"issue","inbound","closed incomplete","WIFI connectivity breaks","n",71,"FALSE",3,4
"164","1806",34,"u",2020-02-24,"issue","inbound","closed","Forgot mobile app password","n",87,"FALSE",5,5
"165","4571",35,"m",2020-03-21,"issue","inbound","open","Factory settings not working","y",59,"FALSE",NA,NA
"166","840",29,"m",2020-01-22,"issue","inbound","closed","Unable to operate menu from remote","n",70,"FALSE",4,4
"167","4083",36,"u",2020-02-24,"issue","inbound","closed","Motor noise from the system","n",84,"FALSE",3,3
"168","5544",38,"m",2020-03-03,"issue","inbound","closed","AC controller sofware missing","n",72,"FALSE",NA,NA
"169","3873",40,"m",2020-01-09,"issue","inbound","open","WIFI connectivity breaks","y",54,"FALSE",4,5
"170","5486",27,"m",2020-03-11,"issue","inbound","closed incomplete","Fan speed varies at on its own","n",33,"FALSE",4,3
"171","6253",32,"u",2020-02-25,"issue","inbound","open","Remote Keys get stuck","y",65,"FALSE",NA,NA
"172","2329",41,"u",2020-04-19,"issue","inbound","closed","Cluttered with popup messages","n",58,"FALSE",3,4
"173","3656",35,"u",2020-01-20,"issue","inbound","closed","App takes a long time to initialize","n",50,"FALSE",3,3
"174","2945",40,"f",2020-03-06,"issue","inbound","closed","Motor noise from the system","n",85,"FALSE",4,5
"175","1043",31,"m",2020-01-20,"issue","inbound","closed","Remote Keys get stuck","n",77,"FALSE",4,4
"176","3573",37,"u",2020-04-13,"issue","inbound","closed","Fan speed varies at on its own","n",38,"FALSE",NA,NA
"177","2394",41,"u",2020-02-29,"issue","inbound","open","Temperature control not working","y",50,"TRUE",3,3
"178","2013",47,"u",2020-02-26,"issue","inbound","closed","Factory settings not working","n",55,"FALSE",3,4
"179","7008",36,"u",2020-02-24,"issue","inbound","closed","Temperature control not working","n",57,"FALSE",2,3
"180","2252",36,"m",2020-03-28,"issue","inbound","closed","Unable to connect the App to the device","n",91,"FALSE",NA,NA
"181","1128",37,"u",2020-01-27,"issue","inbound","open","AC remote does not  work","y",42,"FALSE",NA,NA
"182","3339",36,"u",2020-01-10,"issue","inbound","closed","Unable to operate menu from remote","n",43,"FALSE",3,4
"183","7211",33,"u",2020-04-12,"issue","inbound","closed","Remote Keys get stuck","n",62,"FALSE",NA,NA
"184","7232",34,"f",2020-04-03,"issue","inbound","closed","Unable to operate menu from remote","n",60,"FALSE",3,5
"185","5055",39,"f",2020-02-06,"issue","inbound","closed","Unable to connect the App to the device","n",37,"FALSE",NA,NA
"186","3546",29,"f",2020-03-28,"issue","inbound","open","Unable to operate menu from remote","y",70,"FALSE",NA,NA
"187","4328",24,"m",2020-01-30,"issue","inbound","closed","Temperature control not working","n",28,"FALSE",NA,NA
"188","5263",36,"u",2020-04-05,"issue","inbound","closed","Forgot mobile app password","n",63,"FALSE",1,4
"189","2281",40,"u",2020-02-09,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",56,"FALSE",2,5
"190","517",26,"m",2020-01-22,"issue","inbound","closed","Remote Keys get stuck","n",47,"FALSE",NA,NA
"191","4967",37,"u",2020-03-05,"issue","inbound","closed","Temperature control not working","n",70,"FALSE",1,3
"192","4607",32,"f",2020-02-13,"issue","inbound","closed","Unable to connect the App to the device","n",57,"FALSE",3,5
"193","4835",27,"f",2020-01-29,"issue","inbound","closed","Unable to operate menu from remote","n",56,"FALSE",2,4
"194","3179",30,"f",2020-02-16,"issue","inbound","closed","Unable to operate menu from remote","n",88,"FALSE",2,4
"195","4777",32,"u",2020-02-03,"issue","inbound","closed","Cluttered with popup messages","n",60,"FALSE",NA,NA
"196","5788",28,"u",2020-01-13,"issue","inbound","closed","App takes a long time to initialize","n",33,"FALSE",NA,NA
"197","14",36,"f",2020-01-16,"issue","inbound","closed","Motor noise from the system","n",78,"FALSE",4,4
"198","7325",33,"m",2020-04-19,"issue","inbound","closed","Temperature control not working","n",59,"FALSE",3,3
"199","5287",37,"m",2020-01-10,"issue","inbound","closed","Cluttered with popup messages","n",26,"FALSE",4,4
"200","2805",29,"u",2020-02-22,"issue","inbound","open","AC controller sofware missing","y",63,"FALSE",NA,NA
"201","2960",32,"f",2020-03-25,"issue","inbound","closed","Unable to operate menu from remote","n",61,"FALSE",1,4
"202","6570",36,"m",2020-01-25,"issue","inbound","closed","Remote Keys get stuck","n",63,"FALSE",4,5
"203","6433",35,"m",2020-01-16,"issue","inbound","open","WIFI connectivity breaks","y",62,"FALSE",NA,NA
"204","5426",38,"u",2020-04-15,"issue","inbound","closed","Remote Keys get stuck","n",40,"FALSE",4,3
"205","3837",31,"m",2020-04-14,"issue","inbound","closed","Motor noise from the system","n",56,"FALSE",2,5
"206","1761",34,"m",2020-03-17,"issue","inbound","closed","Remote Keys get stuck","n",78,"FALSE",NA,NA
"207","2352",32,"f",2020-03-11,"issue","inbound","closed","AC controller sofware missing","n",67,"FALSE",3,4
"208","4597",36,"m",2020-02-18,"issue","inbound","closed incomplete","Unable to operate menu from remote","n",59,"FALSE",3,3
"209","1979",35,"m",2020-01-07,"issue","inbound","closed","Remote Keys get stuck","n",76,"FALSE",NA,NA
"210","6066",32,"f",2020-01-21,"issue","inbound","closed","AC controller sofware missing","n",47,"FALSE",3,3
"211","5080",32,"m",2020-02-12,"issue","inbound","closed","Unable to operate menu from remote","n",47,"FALSE",3,4
"212","4862",30,"m",2020-02-15,"issue","inbound","closed","App takes a long time to initialize","n",58,"FALSE",3,4
"213","5195",37,"m",2020-04-15,"issue","inbound","open","Temperature control not working","y",42,"FALSE",4,4
"214","5690",26,"u",2020-02-17,"issue","inbound","open","Cluttered with popup messages","y",47,"FALSE",2,3
"215","6037",36,"f",2020-01-26,"issue","inbound","closed","Battery does not last full 8 hrs","n",72,"FALSE",2,4
"216","3197",35,"f",2020-01-01,"issue","inbound","closed","Unable to connect the App to the device","n",78,"FALSE",4,4
"217","1014",46,"u",2020-04-12,"issue","inbound","closed","Motor noise from the system","n",43,"FALSE",NA,NA
"218","6683",35,"m",2020-02-03,"issue","inbound","closed incomplete","Mobile screen blanks on use of phone","n",60,"FALSE",3,3
"219","1570",45,"m",2020-03-17,"issue","inbound","closed","Unable to connect the App to the device","n",46,"FALSE",2,4
"220","7251",24,"u",2020-02-11,"issue","inbound","closed","Factory settings not working","n",36,"FALSE",3,4
"221","4977",33,"u",2020-04-15,"issue","inbound","closed","Unable to operate menu from remote","n",62,"FALSE",4,4
"222","4256",32,"u",2020-02-03,"issue","inbound","closed","Motor noise from the system","n",97,"FALSE",2,3
"223","5185",24,"f",2020-03-09,"issue","inbound","open","Motor noise from the system","y",90,"FALSE",NA,NA
"224","7178",33,"m",2020-03-03,"issue","inbound","closed","AC controller sofware missing","n",64,"FALSE",NA,NA
"225","3288",33,"f",2020-03-01,"issue","inbound","closed","Freshner holder stuck","n",65,"FALSE",3,3
"226","4938",32,"u",2020-02-08,"issue","inbound","closed","Freshner holder stuck","n",81,"FALSE",3,4
"227","5588",35,"m",2020-02-06,"issue","inbound","closed","Cluttered with popup messages","n",46,"FALSE",NA,NA
"228","1181",33,"m",2020-02-17,"issue","inbound","open","Freshner holder stuck","y",70,"FALSE",4,5
"229","4694",27,"f",2020-03-23,"issue","inbound","closed","Battery does not last full 8 hrs","n",48,"FALSE",NA,NA
"230","1725",39,"f",2020-01-27,"issue","inbound","closed","Remote Keys get stuck","n",42,"FALSE",3,4
"231","382",41,"f",2020-01-03,"issue","inbound","closed","AC controller sofware missing","n",60,"FALSE",NA,NA
"232","1954",38,"f",2020-03-19,"issue","inbound","open","App hangs while entring commands","y",63,"FALSE",4,3
"233","3449",35,"f",2020-02-07,"issue","inbound","closed","Unable to operate menu from remote","n",69,"FALSE",NA,NA
"234","4180",30,"f",2020-01-06,"issue","inbound","open","Cluttered with popup messages","y",77,"FALSE",NA,NA
"235","3121",43,"m",2020-02-26,"issue","inbound","open","Remote Keys get stuck","y",64,"FALSE",NA,NA
"236","6458",32,"m",2020-02-29,"issue","inbound","closed","Cluttered with popup messages","n",69,"FALSE",4,3
"237","7630",35,"m",2020-03-12,"issue","inbound","closed","WIFI connectivity breaks","n",61,"FALSE",5,3
"238","2070",37,"u",2020-03-29,"issue","inbound","closed","Unable to connect the App to the device","n",41,"FALSE",3,4
"239","722",31,"f",2020-01-13,"issue","inbound","closed","Unable to operate menu from remote","n",67,"FALSE",2,3
"240","5211",29,"u",2020-01-11,"issue","inbound","closed incomplete","Unable to connect the App to the device","n",63,"FALSE",2,4
"241","2162",45,"u",2020-02-19,"issue","inbound","closed","Motor noise from the system","n",72,"FALSE",3,4
"242","6478",40,"u",2020-03-12,"issue","inbound","closed","Unable to connect the App to the device","n",45,"FALSE",3,5
"243","7341",40,"m",2020-04-18,"issue","inbound","open","WIFI connectivity breaks","y",56,"FALSE",NA,NA
"244","6402",42,"u",2020-03-21,"issue","inbound","open","App takes a long time to initialize","y",67,"FALSE",NA,NA
"245","4709",42,"m",2020-02-01,"issue","inbound","closed","Motor noise from the system","n",65,"FALSE",NA,NA
"246","3196",39,"f",2020-02-16,"issue","inbound","closed","Temperature control not working","n",44,"FALSE",3,4
"247","7443",32,"m",2020-01-04,"issue","inbound","open","Unable to connect the App to the device","y",33,"FALSE",NA,NA
"248","4524",33,"u",2020-03-16,"issue","inbound","closed","AC controller sofware missing","n",50,"FALSE",2,3
"249","6141",39,"u",2020-02-18,"issue","inbound","open","Remote Keys get stuck","y",79,"FALSE",3,4
"250","6391",39,"u",2020-02-08,"issue","inbound","closed","Unable to connect the App to the device","n",43,"FALSE",NA,NA
"251","1502",30,"f",2020-04-11,"issue","inbound","closed","App takes a long time to initialize","n",73,"FALSE",NA,NA
"252","4197",41,"f",2020-03-27,"issue","inbound","open","Remote Keys get stuck","y",23,"FALSE",NA,NA
"253","4533",35,"u",2020-01-08,"issue","inbound","closed","App takes a long time to initialize","n",58,"FALSE",3,5
